"id","stargazers_count","forks_count","watchers_count","open_issues_count","size","language","has_wiki","popular"
4311796,60178,11088,60178,319,17985,"JavaScript",1,1
167174,59843,20476,59843,96,35979,"JavaScript",1,1
460078,58750,27179,58750,461,101796,"JavaScript",1,1
649170660,58195,6293,58195,322,56612,"JavaScript",1,1
486550,57429,12306,57429,25,22791,"JavaScript",1,1
138839979,57307,15953,57307,121,207074,"JavaScript",1,1
36040894,55958,10215,55958,365,1146833,"JavaScript",0,1
127407957,55790,9428,55790,10,126606,"JavaScript",1,1
110446844,55151,4097,55151,1419,72537,"JavaScript",1,1
1663468,53112,10604,53112,458,183319,"JavaScript",1,1
9852918,52478,11466,52478,239,457921,"JavaScript",0,1
75104123,51789,4705,51789,1465,169016,"JavaScript",1,1
1116260703,51443,4317,51443,19,9507,"JavaScript",1,1
162279822,51350,4846,51350,776,69808,"JavaScript",1,1
67186968,51252,10337,51252,131,242726,"JavaScript",1,1
9309093,51116,4885,51116,1073,113201,"JavaScript",1,1
85031442,50541,3885,50541,38,3371,"JavaScript",0,1
46629305,49447,6652,49447,69,105,"JavaScript",0,1
128907699,48624,2428,48624,1210,5984,"JavaScript",1,1
58836534,48488,7582,48488,78,21182,"JavaScript",1,1
1424470,48009,7015,48009,297,22191,"JavaScript",0,1
255378816,47794,1582,47794,657,323458,"JavaScript",0,1
135786093,47022,4288,47022,2,3146,"JavaScript",0,1
34302698,46914,5735,46914,1235,103850,"JavaScript",0,1
229764465,46229,10435,46229,369,124993,"JavaScript",1,1
60630844,45829,4038,45829,805,138639,"JavaScript",1,1
110058856,45647,6682,45647,132,8889,"JavaScript",1,1
364474335,45367,1245,45367,40,3824,"JavaScript",0,1
931135,44834,6109,44834,536,59864,"JavaScript",0,1
3214406,44779,5266,44779,370,144996,"JavaScript",1,1
80276391,44617,3076,44617,6,31579,"JavaScript",1,1
135614069,44480,10344,44480,13,6685,"JavaScript",1,1
965615190,44416,5279,44416,158,42377,"JavaScript",0,1
99598595,44040,2278,44040,590,63337,"JavaScript",0,1
280567579,43777,5335,43777,266,148676,"JavaScript",1,1
10187082,43048,2703,43048,1102,13815,"JavaScript",0,1
542284380,42853,2294,42853,1629,46738,"JavaScript",0,1
3721224,41826,9690,41826,249,83861,"JavaScript",0,1
49970642,41518,2731,41518,2065,119790,"JavaScript",0,1
778556932,41415,1446,41415,515,5903358,"JavaScript",1,1
3100121,41327,3871,41327,962,136248,"JavaScript",1,1
766341786,40260,3604,40260,169,36567,"JavaScript",1,1
667006,39688,7502,39688,641,127848,"JavaScript",1,1
170326929,39583,2220,39583,139,19220,"JavaScript",1,1
9393759,39349,7131,39349,93,488929,"JavaScript",0,1
23974149,38965,4651,38965,792,165461,"JavaScript",1,1
42283287,38547,2029,38547,148,18830,"JavaScript",1,1
3065454,38279,6618,38279,60,4390,"JavaScript",1,1
37958358,38003,2364,38003,42,109984,"JavaScript",0,1
838695230,37948,1691,37948,12,61158,"JavaScript",1,1
352933140,37728,5001,37728,980,1616109,"JavaScript",0,1
97249406,37669,2695,37669,44,1501,"JavaScript",0,1
667110339,37041,2978,37041,213,6428,"JavaScript",0,1
2096579,36717,3518,36717,8,11052,"JavaScript",0,1
69495170,36031,2648,36031,132,10144,"JavaScript",0,1
94498635,36004,1972,36004,81,21055,"JavaScript",0,1
11551538,35715,3214,35715,37,4273,"JavaScript",1,1
32948863,35642,4025,35642,115,5250,"JavaScript",1,1
12972263,35465,7155,35465,127,17123,"JavaScript",1,1
14370955,35215,8174,35215,4,16187,"JavaScript",0,1
21125024,34943,1083,34943,102,4846,"JavaScript",0,1
33041711,34836,5823,34836,11,380,"JavaScript",0,1
74962515,34553,3904,34553,573,87783,"JavaScript",1,1
42751014,34169,3917,34169,15,3631,"JavaScript",1,1
164574693,34150,2698,34150,179,5533,"JavaScript",1,1
97086543,34094,5844,34094,197,3007,"JavaScript",1,1
99761907,34020,2723,34020,643,14804,"JavaScript",0,1
